file_name,file_size_original,file_size_transcoded,compression_ratio,transcoding_time
test_tiny,245004,95088,0.3881079492579713,736
test_detail_low,345237,235104,0.680993056943491,4922
test_pixel,7649,904,0.11818538371028893,37
test_fine_print,30956,130745,4.223575397338157,1883
test_detail_high,785610,322222,0.410155166049312,6409
test_color,502888,187237,0.3723234596967913,3653
test_gradient,142670,907,0.006357328099810752,48
test_small,974331,382346,0.39241900339822916,8818
test_black_white,331351,174028,0.5252074084581003,3737
test_medium,3886238,1480937,0.3810721319692721,1392
test_large,14784572,5855154,0.39603134943642604,11300
