file_name,file_size_original,file_size_transcoded,compression_ratio,transcoding_time
test_small,974331,4494512,4.612921070970748,1369
test_pixel,7649,68090,8.90181723101059,84
test_detail_low,345237,3522293,10.202536228735623,1097
test_tiny,245004,1169644,4.7739792003395864,283
test_color,502888,2807512,5.582777874994035,992
test_fine_print,30956,659,0.021288280139552914,218
test_large,14784572,52080767,3.52264286040881,19370
test_detail_high,785610,3598346,4.580321024426879,1138
test_gradient,142670,36116,0.2531436181397631,81
test_black_white,331351,2744342,8.282280723462431,1034
test_medium,3886238,14526745,3.7379967464679207,3845
