file_name	file_size_original	file_size_transcoded	compression_ratio	transcoding_time
test_tiny	245004	39110	0,159630047	33
test_small	974331	155999	0,160108834	59
test_medium	3886238	642346	0,165287355	187
test_large	14784572	2559562	0,173123848	743
test_detail_low	345237	85805	0,248539409	47
test_detail_high	785610	131051	0,166814323	57
test_pixel	7649	3804	0,497319911	22
test_gradient	142670	18179	0,12741992	32
test_black_white	331351	54502	0,164484187	40
test_color	502888	61321	0,121937688	52
test_fine_print	30956	67485	2,18002972	31
